Sr. No. (CCA),Sr. No. (instrument),Date,Year,Capital control action,Link to capital control instrument,Category,Asset Class,Ease/tightening,Remarks
78,60,01-03-2012,2012,"Clarification on the meaning of ""to be listed"" debt securities.",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=7036&Mode=0,Investment Condition,General,0,
79,61,19-03-2012,2012,Prior intimation to the Reserve Bank of India for raising the aggregate Foreign Institutional Investors / Non-Resident Indian limits for investments under the Portfolio Investment Scheme,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=7072&Mode=0,Investment Condition,General,-1,
80,62,25-06-2012,2012,Limits for FII increased from USD 15 billion to USD 20 billion in g-secs,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=7292&Mode=0,Investment Limit,Debt,1,
81,63,16-07-2012,2012,Framework for investment by QFI’s in Indian Corporate Debt Securities,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=7456&Mode=0,Eligibility,Debt,1,
82,64,05-09-2012,2012,Circular on KYC Requirements,https://www.sebi.gov.in/legal/circulars/sep-2012/know-your-client-requirements_23379.html,Procedure,General,1,
83,65,22-10-2012,2012,FIIs allowed to approach any AD Category I Bank and not just designated AD Category I Bank for availing hedging services,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=7637&Mode=0,Procedure,General,1,
84,66,07-11-2012,2012,FIIs can re-invest up to 50% of their debt holdings in each calendar year instead of the option of re-investing twice the amount of  debt holding at the end of two years,https://www.sebi.gov.in/sebi_data/attachdocs/1352289200241.pdf,Investment Condition,Debt,1,
85,66,07-11-2012,2012,Period for utilization of government debt limt to be 30 days and corporate debt limit to be 60 days,https://www.sebi.gov.in/sebi_data/attachdocs/1352289200241.pdf,Investment Condition,Debt,-1,
86,66,07-11-2012,2012,FIIs may avail limits under the corporate debt long term infra category without obtaining SEBI approval till overall FII investments reaches 90%,https://www.sebi.gov.in/sebi_data/attachdocs/1352289200241.pdf,Investment Condition,Debt,1,
87,67,24-01-2013,2013,Total limit raised to US$ 25 billion as Sublimit for long-term category raised to US$ 15 billion,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=7823&Mode=0,Investment Limit,Debt,1,
88,67,24-01-2013,2013,"In the Government Debt Long Term category, the provision regarding 3 years residual maturity at the time of first purchase shall no longer be applicable. However, within this category, FIIs shall not be allowed to invest in short term paper like treasury bills",https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=7823&Mode=0,Investment Condition,Debt,1,
89,67,24-01-2013,2013,"Investment in corporate debt (apart from Infra, CP and CD) enhanced by USD 5 bn from USD 20 bn to USD 25 bn",https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=7823&Mode=0,Investment Condition,Debt,1,
90,67,24-01-2013,2013,Lock-in periods for investment in Infrastructure bonds relaxed,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=7823&Mode=0,Investment Condition,Debt,1,
91,68,01-03-2013,2013,Separate sub-limits  of  investment  in  Government  Debt–  Old  of USD 10 billion and in Government Debt– Long Term of USD 15 billion were merged into a single limit of USD 25 billion in Government securities.,https://www.sebi.gov.in/sebi_data/attachdocs/1364824242052.pdf,Investment Limit,Debt,1,
