Case No,Bench,"Who filed?
(Corporate Debtor/ Operational Creditor/ Financial Creditor)",Type of Creditor ,Type of operational creditor,Type of financial creditor,Amount of Debt,Secured/ unsecured,Name of Corporate Debtor,Due Date for payment,Date of demand notice,Date of receipt/service of Demand Notice,Date of filing in NCLT,First date of case listing,Date of final disposal,Evidence of debt (What kind of document),Admitted/ dismissed,Category of reason for dismissal,Name of Insolvency Professional,URL,Appeal (Yes/No),Who appealed?,Appeal Allowed/Rejected
CP No. 724/I&BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Supplier,NA,67855132,Unsecured,Loha Ispaat Limited,31.03.2016,04.01.2017,Not available,Not available,Not available,28.04.2017,Delivery notes and invoices,Admitted,NA,Mr. Amit Gupta,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Dilip%20M%20Rathod%20VS%20Lodha%20Ispaat%20Ltd.%20CP%207214-2017%20I&%20BP%20order%20dated%20on%2028.04.2017%20FINAL.pdf,N,NA,NA
CP No. 720/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial creditor,NA,Bank,1623199387,Secured,HDO Technologies Ltd.,Not available,NA,NA,Not available,Not available,28.04.2017,Confirmation of balance by debtor,Admitted,NA,Mr. Amit Gupta,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Bank%20of%20India%20VS%20HDO%20Technologies%20Ltd.%20CP%20720-2017%20I&%20BP%20Order%20dated%20on%2028.04.2017%20FINAL_03.05.2017.pdf,N,NA,NA
CP No. 278/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Employee,NA,150000,Unsecured,Zeel Global Projects Pvt. Ltd.,Not available,NA (The dates mentioned in the order are incorrect),NA,04.04.2017,Not available,27.04.2017,Unclear,Admitted,NA,Mr. Milind Kosadekar,http://nclt.c2k.in/OtherNCLT/Publication/Mumbai_Bench/2017/Other/64.pdf,N,NA,NA
CP No. 64/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Not available,NA,Not available,Unsecured,Windways Packaging Pvt. Ltd.,Not available,Not available,Not available,Not available,Not available,26.04.2017,Not available,Admitted,NA,Avil Menezes,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/WindWaysPackingPvtLtdCP642017BPOrderdatedon26.04.2017FINAL_01.05.2017.pdf,N,NA,NA
CP No. 246/I&BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Financial creditor,NA,Bond Holders,Not available,Unsecured,Sharon Bio-Medicine Ltd.,Not available,NA,NA,Not available,11.04.2017,25.04.2017,Principal Trust Deed,Admitted,NA,Dinkar T Ventakasubramanium,"http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/SharonBioMedicineLtddated25.04.2017CP2462017FINAL_26.04.2017.pdf, http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/SharonBioMedicineLimiteddated11.04.2017CP2462017FINAL_26.04.2017.pdf",N,NA,NA
"CP No. 596/I&BP/NCLT/MB/MAH/2017        
",Mumbai Bench,Creditor,Financial Creditor,NA,Bank,8565257199,Unsecured,Hindustan Dorr-Oliver Limited,03.04.2017,NA,NA,Not available,Not available,21.04.2017,Not available,Admitted,NA,Mr. Amit Gupta,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Bank%20of%20India%20CP%20596-2017%20I&%20BP%20Order%20dated%2021.04.2017_03.05.2017.pdf,N,NA,NA
CP No. 249/1&BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,9211106,Unsecured,Swift Shipping and Freight Logistics Pvt. Ltd.,NA,NA,NA,Not available,Not available,19.04.2017,NA,Admitted,NA,Mr. Uday Vinodchandra Shah,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/SwiftShippingandFreightLogisticsPvtLtddated19.04.2017FINAL_26.04.2017.pdf,N,NA,NA
CP No. 45/I&BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational creditor,Bank(non-resident),NA,1104030876,Unclear,Uttam Galva Steel Ltd.,15.03.2014,28.02.2017,Not available,14.03.2017,Not available,10.04.2017,"Factoring agreement and export contract (bills of lading, bills of exchange)",Admitted,NA,Delegated to IBBI,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Uttam%20Galva%20Steel%20Ltd.%20dated%2010.04.2017%20CP%2045-2017%20FINAL.pdf,N,NA,NA
CP No. 67/I&BP/NCLT/(MAH)/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,3140000000,Secured,Gupta Corporation Pvt.Ltd.,NA,NA,NA,Not available,31.03.2017,03.04.2017,NA,Admitted,NA,Mr. Rohit Jain,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Gupta%20Corporation%20Pvt.Ltd.%20Dated%2003.04.2017%20CP%2067-2017%20FINAL.pdf,N,NA,NA
CP No. 51/I&BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Supplier,NA,4814639,Unsecured,Swiber Offshore (India) Pvt.Ltd.,31.12.2015,Not available,Not available,Not available,Not available,31.03.2017,Bank statements,Admitted,NA,Mr. Rajeev Mannadiar,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/31Swiber%20Offshore%20(India)%20Pvt.Ltd.%20Dated%2031.03.2017%20CP%2051-2017%20FINAL.pdf,Yes[Company Appeals (AT) (Ins) No.16 of 2017],Operational Creditor,Withdrawn
