"2. Is Financial Inclusion good for bank stability? International evidence, 	M.Mostak Ahmad and Sushanta Mallick (Queen Mary University of London)"
"25. Do Investors Flip Less in Bookbuilding than in Auction IPOs?, 	Suman Neupane (Griffith University), Andrew Marshall, Krishna Paudyal and Chandra Thapa (University of Strathclyde)"
"27. A new statistic to capture the level dependence in stock price volatility, 	Lakshmi Padmakumari and S. Maheswaran (Institute for Financial Management and Research, Chennai)"
"29. Bank Regulation, Supervision and Performance around the World -What has been the 	 change since the Global Financial Crisis?, 	Vighneswara Swamy (IBS, Hyderabad)"
"34. Insider Sales under the Threat of Short Sellers:New Theory and New Tests, 	Rencheng Wang (The University of Queensland, Brisbane), Kemin Wang and Yi Zhou (Fudan University)"
"36. Internal Liquidity Management and Local Credit Provision, 	Nicholas Coleman and Ricardo Correa (Federal Reserve Board), Leo Feler (Johns Hopkins University) and Jason Goldrosen (Harvard University)"
"39. The foreign currency effect in the syndicated loan market of the emerging economies 1, 	Di Gong (Tilburg University), Tao Jiang and Weixing Wu (University of International Business and Economics, China)"
"40. Financial Transparency of Microfinance Institutions:Influence of Performance, 	 Stakeholders, and Society , 	John W. Goodell (University of Akron), Abhinav Goyal (University of Liverpool) and Iftekhar Hasan (Fordham University)"
"41. What determines debt structure in emerging markets?:Transaction costs or public monitoring, 	John W. Goodell (University of Akron) and Abhinav Goyal (University of Liverpool)"
"43. Leaders and Markets: National Leadership and Stock Market Performance, 	Manuel Álvarez, Tomás Reyes (Pontificia Universidad) and Pablo Hernández-Lagos (New York University)"
"45. Political Turnover, Ownership, and Corporate Investment, 	Jerry Cao and Tiecheng Leng (Sun Yat-sen University), Brandon Julio (University of Oregaon) and Sili Zhou (Singapore Management University)"
"47. Options Order Flow, Volatility Demand and Variance Risk Premium, 	Prasenjit Chakrabarti and K Kiran Kumar (Indian Institute of Management Indore)"
"48. Volume Effect on Return and Volatility Spillover in Dually Listed Securities, 	Malay K. Dey (University of Illinois Urbana Champaign) and Chaoyan Wang (University of Nottingham, Ningbo Campus)"
"49. Extreme Capital Flows in Emerging Markets: A Blessing or a Curse?, 	Amrita Dhar (University of Mary Washington, Fredericksburg)"
"50. Trading Activity in the Indian Government Bond Market, 	Michael Fleming (Federal Reserve Bank of New York), Seema Saggar (Reserve Bank of India) and Samita Sareen (New York University)"
"52. Profit-Sharing, Wisdom of the Crowd, and Theory of the Firm, 	Jiasun Li (UCLA Anderson School of Management)"
"56. Local Government Fiscal Deficit and Strategic Public Asset Management in 	 Developing Countries: Evidence from China, 	Nathan Dong (Columbia University) and Zigan Wang (University of Hong Kong)"
"57. Misled and mis-sold: Financial misbehaviour in retail banks?, 	Monika Halan (Mint) and Renuka Sane (ISI, Delhi)"
"59. Does Board Quality Influence Earnings Management Behaviour of 	 Firms? Evidence from an Emerging Economy, 	Chanchal Chatterjee (International Management Institute Kolkata) and Paromita Dutta (St. Xavier’s College)"
"60. Policy initiatives and firms access to external finance: Evidence from a panel 	 of emerging Asian economies, 	Udichibarna Bose (Essex Business School), Ronald MacDonald and Serafeim Tsoukas (Adam Smith Business School)"
"61.Does accountability deter individuals from serving as independent directors? 	 Evidence from a corporate governance reform in India , 	S. Lakshmi Naaraayanan and Kasper Meisner Nielsen (Hong Kong University of Science and Technology)"
"62. A Simple Measure Of Liquidity, With Estimates From India’s National Stock 	 Exchange, 	Murugappa Krishnanng (Yeshiva University) and Qiang Li (University of Delaware)"
"65. Performance Evaluation of Mutual Funds: The Issue of 	 Reporting and Disclosure, 	Devesh Shankar, Prateek Bedi (University of Delhi) and Vaibhav Lalwani (IIM Lucknow)"
"66. The functional convergence as a substitute for dividends and 	 debt: Evidence from Brazil, 	Victor Hugo Braz Bezerra (Universidad de Salamanca)"
"67. MEAN REVERSION OF STOCK PRICES IN INDIA, 	 Muneer Shaik and S. Maheswaran (Institute for Financial Management and Research)"
"68. Evaluating Hedge Fund Performance with Prudent Investors, 	Frans de Roon (Tilburg University) and Paul Karehnke (The University of New South Wales)"
"70. Intraday ETF Performance in the Presence of Surprise 	 Macroeconomic Announcements, 	Travis Ban, Kartick Gupta and Petko S. Kalev (University of South Australia)"
"71. Asset Price Effects of Peer Benchmarking: Evidence 	 from a Natural Experiment, 	Sushant Acharya (Federal Reserve Bank of New York) and Alvaro Pedraza (World Bank)"
"73. Is Liquidity Risk Priced in Partially Segmented Markets?, 	Ines Chaieb (University of Geneva), Vihang Errunza (McGill University) and Hugues Langlois (HEC Paris)"
"79. Liquidity and Jumps: An Analysis on Indian Stock Market, 	Ram Kumar Kakani (XLRI Xavier Institute of Management), Madhvi Sethi and Shivani Inamdar (Symbiosis Institute of Business Management, Bangalore)"
"80. Foreign Institutional Investors, Controlling Shareholders and 	 Market Timing: Evidence from India, 	Shradha Bindal, Imran Haque (Texas A/&M University) and Suman Saurabh (Indian Institute of Management, Ahmedabad)"
"81. A Tale of One Exchange and Two Order Books: Effects of 	 Fragmentation in the Absence of Competition, 	Alejandro Bernales, Italo Riarte, Marcela Valenzuela (University of Chile), Satchit Sagade and Christian Westheide (Goethe University Frankfurt)"
"82. Can Political Connections Help Nation 	 Building in Emerging Markets? Evidence from Public-Private Partnerships in China and India, 	Hong Nhung Dao and Vijaya Bhaskar Marisetty (RMIT University)"
"84. The Rise of Dollar Credit in Emerging Market Economies 	 and US Monetary Policy, 	Anni Huang and N. Kundan Kishor (University of Wisconsin–Milwaukee)"
"86. Economic and Political Interactions in explaining the 	 Performance of Public Sector Enterprises in India:The Disinvestment Experience, 	Ritika Jain (Centre for Development Studies, Trivandrum)"
"87. FINANCIAL LIBERALIZATION, ECONOMIC FREEDOM AND THE BANKING 	 CRISIS, 	Anjala Kalsie and Jappanjyot Kaur Kalra (University of Delhi)"
"89. Financialization, Intraday Institutional Trading, and Market Quality, 	Vikas Raman (Warwick Business School), Michel A. Robe (Kogod School of Business at American University) and Pradeep Yadav (University of Oklahoma)"
"90.Vertical and Horizontal Agency Costs: Evidence from Public and 	 Private Firms , 	Sridhar Gogineni (University of Wyoming), Scott C. Linn and Pradeep Yadav (University of Oklahoma)"
