"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"(IB)-194(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Bank","1,85,00,00,000","Garg Inox Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","25.07.2017","Admitted","Mr. Sanjay Gupta",NA,"N","N",NA,NA
"(IB)-118(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"Not Available","Anu Elastics Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","25.07.2017","Admitted","Not Available",NA,"N","Y","Corporate Debtor","Allowed"
"(IB)-192(ND)/2017	
","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"272581173","Tehri Iron and Steel Casting Ltd.","Not Available","17.05.2017","Not Available","29.06.2017","05.07.2017","27.07.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"(IB)-204(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"2394946","MM Cargo Container Line Pvt. Ltd.","Not Available","30.06.2017","Not Available","Not Available","Not Available","27.07.2017","Admitted","Not Available",NA,"N","N",NA,NA
"(IB)-212(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"14,22,091","Jap Infratech Pvt. Ltd","Not Available","28.02.2017","Not Available","Not Available","Not Available","27.07.2017","Admitted","Not Available",NA,"N","Y","Corporate Debtor","Rejected"
"(IB)-229(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Individual Lender","10797000","Sumit Aviation Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","01.08.2017","Admitted","Mr. Abhisheh Anand",NA,"N","N",NA,NA
"(IB)210(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"2469082.35","GTHS Retails Pvt. Ltd.","Not Available","14.06.2017","16.06.2017","07.07.2017","18.07.2017","03.08.2017","Admitted","Not Available",NA,"N","N",NA,NA
"(IB)-167(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"19622913","Agrante Infra Ltd.","Not Available",NA,NA,"Not Available","Not Available","10.08.2017","Admitted","Not Available",NA,"N","N",NA,NA
"(IB)-260(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Individual Lender","17309195","Mega Soft Infrastructure Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","23.08.2017","Admitted","Mr. Abhishek Anand",NA,"N","N",NA,NA
"(IB)-560(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"8559554","Gee Ispat Pvt. Ltd.","Not Available","1.07.2017","10.07.2017","Not Available","08.08.2017","24.08.2017","Admitted","Mr. Shankar Choudhary",NA,"N","N",NA,NA
"(IB)-211(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"75140575","Amira Pure Foods Pvt. Ltd.","Not Available","10.06.2017","Not Available","Not Available","18.07.2017","24.08.2017","Admitted","Mr. Prabhjit  Singh Soni",NA,"N","N",NA,NA
"CP No-(IB)292(ND)/2017","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"1258157000(financial debt), 551560522(operational debt) trade payable (477813000)","Ang Industries Limited","Not Available","Not Available","Not Available","Not Available","Not Available","31.08.2017","Admitted","Mr. Ilam Chand Kamboj",NA,"N","N",NA,NA
"IB no.(IB)-269(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"8463763","Bharat Heavy Electricals Ltd.","Not Available","Not Available","Not Available","09.08.2017","Not Available","31.08.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Withdrawn"
"(IB)-199(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1135779","Fenace Auto Ltd.","Not Available","Not Available","Not Available","Not Available","10.07.2017","11.08.2017","Dismissed",NA,"Defective Petition","N","Y","Creditor","Allowed"
"(IB)-257(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"3378000","Tryst Industries Private Limited ","14.05.2016","20.05.2017","Not Available","Not Available","Not Available","08.09.2017","Admitted","Referred to IBBI",NA,"N","N",NA,NA
"(IB)-304(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Not Available",NA,"Not Available","Hero Wind Energy Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","11.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)-305(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Not Available",NA,"Not Available","Hero Wind Energy Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","11.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)-259(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1860921+24% interest per annum","Centre for Vocational Training and Entrpreneurship Studies","Not Available","Not Available","Not Available","Not Available","Not Available","15.09.2017","Dismissed",NA,"Incomplete Application","N","N",NA,NA
"(IB)-270(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Not Available","Not Available","BOP Projects Private Limited ","Not Available",NA,NA,"Not Available","Not Available","18.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)-302(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Bank","1106415115","Carnation Auto India Private Limited ","Not Available",NA,NA,"Not Available","Not Available","25.09.2017","Admitted","Mr. Mukesh Mohan",NA,"N","N",NA,NA
"(IB)-333(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"6041936","Iris Computers Limited","Not Available","08.08.2017","Not Available","Not Available","Not Available","27.09.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"(IB)-332(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1862204+18% interest per annum (345297 as on date of petition)","Hounslow Builders Private Limited ","Not Available","01.08.2017","Not Available","Not Available","Not Available","27.09.2017","Admitted","Referred to IBBI",NA,"N","Y","Corporate Debtor","Rejected"
"(IB)-340(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Employee",NA,"Not Available","Bycell Telecommunication India Private Limited ","Not Available","17.07.2017","Not Available","Not Available","Not Available","28.09.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"(IB)-244(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Bank","3338000000","Athena Demwe Power Limited ","Not Available",NA,NA,"Not Available","Not Available","28.09.2017","Admitted","Mr. Mukesh Mohan ",NA,"N","N",NA,NA
"(IB).370/ND/2017","New Delhi (Bench II)","Not Available","Not Available","Not Available","Not Available","Not Available","Anya Politech and Fertilisers Pvt. Ltd.
","Not Available","Not Available","Not Available","Not Available","Not Available","10.10.2017","Not Available","Not Available","Not Available","Not Available","N",NA,NA
"(IB).320/ND/2017","New Delhi (Bench II)","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","11.10.2017","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"(IB)258(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"14151552","M/s. Suvidha Sign Studios Private Limited","Not Available","01.03.2017","Not Available","Not Available","Not Available","11.10.2017","Dismissed",NA,"Defective Petition","N","Not Available","Not Available","Not Available"
"(IB)253(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1348256","Emkor Solutions Limited","Not Available","25.04.2017","Not Available","Not Available","Not Available","13.10.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"(IB)420(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"5564267 plus 36% interest","Sadeep Axles Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","17.10.2017","Admitted","Mr. Vishnu Dutt",NA,"N","N",NA,NA
"(IB)367(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"10234691","M/s. Rattan India Power Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","23.10.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"(IB)365(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Individual Lender","18100000 plus 18% interest","M/s. Proactive Plast Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","23.10.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)433(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"55514360 plus 36% interest","M/s. SPM Auto Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","24.10.2017","Admitted","Mr. Nirmal Kumar Bhesoni",NA,"N","N",NA,NA
"(IB)-334(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Employee",NA,"2884160","M/s. Applied Electro-Magnetic Pvt. Ltd.","Not Available","17.08.2017","Not Available","Not Available","Not Available","26.10.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"IB- 200/ND/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Others",NA,"10000000 plus 12%","DCM International Ltd.","Not Available","31.03.2017","03.04.2017","Not Available","Not Available","06.10.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
