"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"CP (IB) No. 301/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Vendor",NA,"9263005","Balaji Paper and Newsprint Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","11.10.2017","Dismissed",NA,"Multiple","N","Y","Creditor","Rejected"
"CP No. 394/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Hari Machines Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","11.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP No. 467/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Vendor",NA,"2644330","Fabworth promoters Pvt. Ltd.","Not Available","18.01.2017","Not Available","Not Available","Not Available","23.10.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP No. 532/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Bengal Waterproof Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","24.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP (IB) No. 553/KB/2017","Kolkata Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Balasore Alloys Ltd.","Not Available",NA,NA,"Not Available","Not Available","07.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP (IB) No. 511/KB/2017","Kolkata Bench","Corporate Debtor",NA,NA,NA,"Not Available","Global Coke Ltd.","Not Available",NA,NA,"Not Available","Not Available","07.11.2017","Dismissed",NA,"Time Barred","Y","N",NA,NA
"CP (IB) No. 533/KB/2017","Kolkata Bench","Not Available","Not Available","Not Available","Not Available","Not Available","Gillanders Arbuthnot & Co. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","13.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP (IB) No. 522/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Mangalam Tinder Products Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP (IB) No. 416/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Pleroma Consulting Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP (IB) No. 546/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Media Hospitals Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP (IB) No. 302/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Balaji Paper and Newsprint Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","15.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB)No. 230/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Imperial Tubes Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","16.11.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP(IB)No. 466/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Stesalit Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","16.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB)No. 558/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Snowblue Texim Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","17.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB)No. 512/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Vendor",NA,"743907","Stesalit Ltd.","Not Available","24.07.2017","Not Available","Not Available","Not Available","20.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP(IB)No. 520/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Duncan Industries Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","20.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 567/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Atlas PVC Pipes Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","21.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 566/KB/2017","Kolkata Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Supreme Wood Products Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","21.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) No. 612/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Ankit Metal & Power Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","22.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 587/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Amrit Feeds Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","23.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 526/KB/2017","Kolkata Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Cygnus Equipment & Rentals Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","23.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB) No. 586/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","RHD Enterprises","Not Available","Not Available","Not Available","Not Available","Not Available","23.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB) No. 528/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Matrix Fertilizer& Chemicals Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","23.11.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP(IB) No. 529/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Alipurduar Tea Co. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","23.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 456/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Stesalit Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","24.11.2017","Dismissed",NA,"Existing IRP","N","N",NA,NA
"CP(IB) No. 568/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Kive Finance Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","27.11.2017","Dismissed",NA,"Not Available","N","N",NA,NA
"CP(IB) No. 313/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Power Industries Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","28.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 429/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available"," Abhijeet Ferrotech","Not Available","Not Available","Not Available","Not Available","Not Available","28.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 403/KB/2017","Kolkata Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Diabari Tea Company Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","30.11.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP No. 839/I&BP/NCLT/Mah/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"4110000000","Shirdi Industries Limited",NA,NA,NA,"Not Available","Not Available","18.05.2017","Admitted","Mr.Devendra Padamchand Jain",NA,"Y","N",NA,NA
"CP No. 718/I&BP/NCLT/Mah/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"108250000","Sai Krupa Sugar and Allied Industries Limited","Not Available","03.02.2017","Not Available","Not Available","03.05.2017","06.05.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP No. 852/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"12875390","Best Deal TV Pvt. Ltd.","Not Available","03.04.2017","Not Available","Not Available","Not Available","05.05.2017","Admitted","Mr.Rajendra Karamal Bhuta",NA,"N","N",NA,NA
"CP No. 464/I&BP/NCLT/Mah/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"39238405","Planet M Retail.","Not Available","21.02.2017","Not Available","Not Available","18.04.2017","04.05.2017","Dismissed",NA,"Time Barred","N","Y","Creditor","Allowed"
"CP No. 723/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","44143273","DLS Industries Ltd.","30.06.2014",NA,NA,"Not Available","Not Available","03.05.2017","Admitted","Mr.Dushyant C Dave",NA,"N","N",NA,NA
"CP No. 895/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"109516","Royal Twinkle Star Club Ltd.","31.07.2016","Not Available","Not Available","27.04.2017","Not Available","02.05.2017","Admitted",NA,NA,"N","N",NA,NA
"CP No. 896/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"112537","Cytrus Check Inns Ltd.","22.04.2016","Not Available","Not Available","27.04.2017","Not Available","02.05.2017","Admitted","Mr. Devendra Padamchand Jain",NA,"N","N",NA,NA
"CP No. 69/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Trustee/Debenture holder","510000000","Neelkanth Township and Construction Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","01.05.2017","Admitted","Mr.Uday Vinodchandra Shah",NA,"N","Y","(Link broken)","(Link broken)"
"CP No. 724/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Others",NA,"67855132","Loha Ispaat Limited","31.03.2016","04.01.2017","Not Available","Not Available","Not Available","28.04.2017","Admitted","Mr. Amit Gupta",NA,"N","N",NA,NA
"CP No. 720/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","1623199387","HDO Technologies Ltd.","Not Available",NA,NA,"Not Available","Not Available","28.04.2017","Admitted","Mr. Amit Gupta",NA,"N","N",NA,NA
"CP No. 278/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Employee",NA,"150000","Zeel Global Projects Pvt. Ltd.","Not Available","Not Available",NA,"04.04.2017","Not Available","27.04.2017","Admitted","Mr. Milind Kosadekar",NA,"N","N",NA,NA
"CP No. 64/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Windways Packaging Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","26.04.2017","Admitted","Avil Menezes",NA,"N","N",NA,NA
"CP No. 246/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bond Holders","Not Available","Sharon Bio-Medicine Ltd.","Not Available",NA,NA,"Not Available","11.04.2017","25.04.2017","Admitted","Dinkar T Ventakasubramanium",NA,"N","N",NA,NA
"CP No. 596/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","8565257199","Hindustan Dorr-Oliver Limited","03.04.2017",NA,NA,"Not Available","Not Available","21.04.2017","Admitted","Mr. Amit Gupta",NA,"N","N",NA,NA
"CP No. 249/1&BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"9211106","Swift Shipping and Freight Logistics Pvt. Ltd.",NA,NA,NA,"Not Available","Not Available","19.04.2017","Admitted","Mr. Uday Vinodchandra Shah",NA,"N","N",NA,NA
"CP No. 45/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Others",NA,"1104030876","Uttam Galva Steel Ltd.","15.03.2014","28.02.2017","Not Available","14.03.2017","Not Available","10.04.2017","Admitted","Referred to IBBI",NA,"N","Y","Corporate Debtor","Allowed"
"CP No. 67/I&BP/NCLT/(MAH)/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"3140000000","Gupta Corporation Pvt.Ltd.",NA,NA,NA,"Not Available","31.03.2017","03.04.2017","Admitted","Mr. Rohit Jain",NA,"N","N",NA,NA
"CP No. 51/I&BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"4814639","Swiber Offshore (India) Pvt.Ltd.","31.12.2015","Not Available","Not Available","Not Available","Not Available","31.03.2017","Admitted","Mr. Rajeev Mannadiar",NA,"N","Y","Creditor","Withdrawn"
"CP No. 40/1& BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"31283758","Reliance Infrastructure Ltd.","Not Available","21.01.2017","Not Available","Not Available","Not Available","29.03.2017","Dismissed",NA,"Other","N","Y","Creditor","Rejected"
"CP No. 43/I&BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"6913400000","Gupta Energy Pvt.Ltd.",NA,NA,NA,"Not Available","21.03.2017","21.03.2017","Admitted","Mr. Charudutt Marathe",NA,"N","N",NA,NA
"CP No. 30/I&BP/NCLT/(MAH)/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"815227433","Marmagoa Steel Ltd.",NA,NA,NA,"Not Available","20.03.2017","20.03.2017","Admitted","Mr. Pravin R. Navandar",NA,"N","N",NA,NA
"CP No. 33/I&BP/NCLT/(MAH)/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"2314240","Janata Chemicals Pvt.Ltd.","Not Available","06.02.2017","Not Available","Not Available","15.03.2017","15.03.2017","Admitted","Mr. Amit Gupta",NA,"N","N",NA,NA
"CP No. 04/I& BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"Not Available","Miltech Industries Private Limited","Not Available","Not Available","Not Available","12.01.2017","18.01.2017","14.03.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP No. 17/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"38600000","M/s Supreme Infrastructure India Ltd. & Ors.","06.10.2016","Not Available","Not Available","21.02.2017","10.03.2017","10.03.2017","Dismissed",NA,"Other","N","Y","(Link broken)","(Link broken)"
"CP No. 31/I & BP/NCLT/MAAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"25800700000","Gupta Coal India Pvt. Ltd.","Not Available",NA,NA,"Not Available","09.03.2017","09.03.2017","Admitted","Mr. Devandra Singh",NA,"N","N",NA,NA
"CP No. 18/I & BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"345739808","1Facor Steel Ltd.","Not Available",NA,NA,"Not Available","08.03.2017","08.03.2017","Admitted","CS Sunil Gajanan Nanal",NA,"N","Y","Creditor","Rejected"
"CP No. 20/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"91060788","MCL Global Steel Pvt. Ltd.","30.11.2016","28.12.2016","Not Available","Not Available","06.03.2017","06.03.2017","Admitted","CA Hashmukh Bhavanji Dedhia",NA,"N","N",NA,NA
"29/I & BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"183690000","Ultra Drytech Engineering Ltd.",NA,NA,NA,"Not Available","06.03.2017","06.03.2017","Admitted","Mr. Lalit Laxminarayan Bajaj",NA,"N","N",NA,NA
"CP No. 15/I & BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"15826037","Shree Rajeshwar Weaving Mills Pvt.Ltd.","01.04.2016",NA,NA,"31.01.2017","02.03.2017","02.03.2017","Admitted","Mr. Hemant Sharma",NA,"N","N",NA,NA
"CP No. 21/I & BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Debenture holder","510000000","Neelkanth Township and Costruction Pvt. Ltd. ","Not Available","Not Available","Not Available","Not Available","28.02.2017","01.03.2017","Dismissed",NA,"Other","N","Y","(Link broken)","(Link broken)"
"CP No. 10/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"6136636","Unimark Remedies Ltd","Not Available",NA,NA,"Not Available","24.02.2017","24.02.2017","Admitted","Mr. Rajeev Mannadia",NA,"N","Y","Corporate Debtor","Allowed"
"CP No. 23/I & BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"383531000","Chhaparia Industries Pvt.Ltd.","03.02.2015",NA,NA,"Not Available","24.02.2017","24.02.2017","Admitted","Mr. Vikram Bajaj",NA,"Y","N",NA,NA
"CP No. 12/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","277827162","Starlog Enterprises Limited","Not Available",NA,"Not Available","Not Available","17.02.2017","17.02.2017","Admitted","Mr. Sashank Narendra Desai",NA,"N","N",NA,"Allowed"
"CP No. 16/I & BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"1540471","Midas Touch Export Pvt. Ltd.","10.01.2017","10.01.2017","Not Available","Not Available","17.02.2017","17.02.2017","Admitted","Mr. Romesh Chander Sawhney",NA,"N","N",NA,NA
"CP No. 06/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","National Steel and Agro Industries Ltd.","Not Available","Not Available","Not Available","Not Available","30.01.2017","30.01.2017","Dismissed",NA,"Defective Petition","N","Y","(Link broken)","(Link broken)"
"CP No. 05/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Swiber Offshore (India) Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","30.01.2017","30.01.2017","Dismissed",NA,"Defective Petition","N","Y","Creditor","Withdrawn"
"CP No. 02/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"2008202","Kirusa Software Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","27.01.2017","27.01.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Allowed"
"CP No. 01/I & BP/NCLT/MAH/2016","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","Not Available","Innoventive Industries Ltd.","Not Available","Not Available","Not Available","Not Available","23.01.2017","23.01.2017","Dismissed",NA,"Other","N","Y","Corporate Debtor","Rejected"
"CP No. 03/I & BP/NCLT/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"NBFC","48232181","Bhupen Electronic Limited","Not Available","Not Available","Not Available","Not Available","19.01.2017","19.01.2017","Admitted","Mr. Manish Gupta",NA,"N","N",NA,NA
"CP No. 01/I & BP/NCLT/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"1167987385","U.B. Engineering Ltd.","Not Available",NA,NA,"Not Available","18.01.2017","18.01.2017","Admitted","Mr. Adesh Kumar Mehta",NA,"N","N",NA,NA
"CP No. 01/I & BP/NCLT/MAH/2015","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","1019177034","Innoventive Industries Ltd.","30.11.2016",NA,NA,"Not Available","16.01.2017","17.01.2017","Admitted","Mr. Dhinal Shah",NA,"N","Y","Corporate Debtor","Rejected"
"C.P-184/2017","Mumbai Bench","Not Available","Not Available",NA,NA,"Not Available","Mayapur Vastu Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","17.04.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP No. 839/I&BP/NCLT/Mah/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"4110000000","Shirdi Industries Limited",NA,NA,NA,"Not Available","Not Available","18.05.2017","Admitted","Mr.Devendra Padamchand Jain",NA,"Y","N",NA,NA
"CP. No. 1032/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"Not Available","Trinity Auto Components Ltd","Not Available",NA,NA,"Not Available","Not Available","25.05.2017","Admitted","Mr. Laxman Digambar Pawar",NA,"Y","N",NA,NA
"CP. No. 1043/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"NBFC","9323633","Quantum Limited","31.03.2013","Not Available","Not Available","25.05.2017","29.05.2017","29.05.2017","Admitted","Anil Goel",NA,"N","N",NA,NA
"CP. No. 1042/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"13415847967","P & S Jewellery Limited","Not Available","Not Available","Not Available","25.05.2017","29.05.2017","29.05.2017","Admitted","Vipul K Choksi",NA,"Y","N",NA,NA
"CP No. 1036/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Gupta Global Resources Pvt Ltd","Not Available",NA,NA,"Not Available","Not Available","05.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP. No. 292/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"ARC","5994343163","Bharati Defence and Infrastructure Ltd","Not Available",NA,NA,"Not Available","Not Available","06.06.2017","Admitted","Mr. Dhinlal Shah",NA,"N","Y","Corporate Debtor","Rejected"
"CP No. 722/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available",NA,"Not Available","Gammon India Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","08.06.2017","Dismissed",NA,"Settlement","N","Y","Creditor","Rejected"
"CP. No. 1069/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Corporate Lender","12500000","Zenith Computers Limited ","17.11.2016",NA,NA,"Not Available","09.06.2017","12.06.2017","Admitted","Chetan T Shah",NA,"N","N",NA,NA
"CP. No. 1052/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"5930000","Futuristic Offshore Services and Chemical Limited","Not Available",NA,NA,"Not Available","06.06.2017","12.06.2017","Admitted","Jayashree Shukla Dasgupta",NA,"N","N",NA,NA
"CP No. 1060/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Larsen & Toubro Limited","Not Available","Not Available","Not Available","Not Available","Not Available","13.06.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP No. 1056/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Lavasa Corporation Limited","Not Available","Not Available","Not Available","Not Available","Not Available","13.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP No. 254/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Beyond Logistics Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","13.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP No. 1022/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Neelkanth Realtors Pvt Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","13.06.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP. No. 1073/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Corporate Lender","53700000","Mindtree Exports Private Limited","13.09.2016",NA,NA,"Not Available","Not Available","13.06.2017","Admitted","Subhas Ramachandra Hedge",NA,"N","Y","Corporate Debtor","Allowed"
"CP. No. 508/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Others",NA,"3915726","Dishnet Wireless Limited","26.02.2017","13.01.2017","Not Available","Not Available","03.05.2017","14.06.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"CP. No. 247/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","312856661","Varun Resources Limited","Not Available",NA,NA,"Not Available","27.04.2017","14.06.2017","Admitted","Sanjeev Maheshwari",NA,"N","N",NA,NA
"CP. No. 61/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Facility Agent for Debentures","278600000","Lokhandwala Kataria Constructions Private Limited","30.09.2016",NA,NA,"Not Available","02.05.2017","15.06.2017","Admitted","Dushyant Dave",NA,"N","Y","Corporate Debtor","Rejected"
"CP. No. 1027/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Assignee","509672863","Kohinoor CTNL Infrastructure Company Private Limited","31.12.2015",NA,NA,"03.05.2017","15.06.2017","16.06.2017","Admitted","Sripatham Venkatasubhramanium Ramkumar",NA,"N","N",NA,NA
"CP. No. 1053/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"4639900000","Amar Remedies Limited","27.12.2012",NA,NA,"29.05.2017","15.06.2017","16.06.2017","Admitted","Jayashree Shukla Dasgupta",NA,"Y","N",NA,NA
"CP No. 1039/(MAH)/2017","Mumbai Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Hindustan Construction Company Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","16.06.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP No. 1074/(MAH)/2017","Mumbai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Jyoti Structures Limited","Not Available","Not Available","Not Available","Not Available","Not Available","16.06.2017","Dismissed",NA,"Settlement","N","N","NA ",NA
"CP No. 1082/(MAH)/2017","Mumbai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Jyoti Structures Limited","Not Available","Not Available","Not Available","Not Available","Not Available","16.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP No. 893/(MAH)/2017","Mumbai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Pratibha Industries Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","16.06.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP. No. 1075/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Others",NA,"29340000","Millenium Motors Pvt. LTd.","Not Available","Not Available","Not Available","Not Available","Not Available","19.06.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP. No. 1024/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Financial Creditor",NA,"Bank","145000000","Charbhuja Industries Private Limited","18.11.2015",NA,NA,"Not Available","19.06.2017","19.06.2017","Admitted","Rahul S Kavathekar",NA,"N","N",NA,NA
"CP. No. 1105/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Creditor","Operational Creditor","Vendor",NA,"2618423","Deep Water Services(India) Limited","09.06.2017","08.05.2017","Not Available","09.06.2017","09.06.2017","20.06.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP. No. 1104/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"5150000000","Antrix Diamond Exports Private Limited","Not Available",NA,NA,"13.06.2017","20.06.2017","20.06.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP. No. 1058/I&BP/NCLT/MB/MAH/2017","Mumbai Bench","Corporate Debtor",NA,NA,NA,"3844900000","Unity Infraprojects Limited","30.12.2014",NA,NA,"Not Available","20.06.2017","20.06.2017","Admitted","Arun Kapoor",NA,"N","N",NA,NA
