Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
1123/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Rashtiya Metal Ind. Ltd.,Not Available,Not Available,Not Available,20.06.2017,Not Available,04.07.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1851.pdf,N,N,NA,NA
1142/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,DBM Geotechnics & Constructions Pvt. Ltd.,22.05.2016,29.12.2016,Not Available,Not Available,Not Available,05.07.2017,Invoices,Admitted,Alok Saksena,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/679.pdf,N,Y,Corporate Debtor,
1135/I&BP/NCLT/(MAH)/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Secured,Mehadia Sales Trade Corporation Pvt Ltd.,Not Available,NA,NA,Not Available,Not Available,06.07.2017,Sanction letters from banks,Admitted,Charudatta Marathe,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/556.pdf,N,N,NA,NA
1112/I&BP /2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Omicron Sensing Pvt. Ltd.,Not Available,23.05.2017,26.05.2017,16.06.2017,Not Available,06.07.2017,Invoices,Admitted,Referred to IBBI,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/745.pdf,N,Y,Corporate Debtor,Allowed
1106/MAH/2017,Mumbai Bench,Not Available,Not Available,Not Available,Not Available,Not Available,Hindustan Construction Company Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,06.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1078.pdf,N,N,NA,NA
1097/MAH/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Indsur Global Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,06.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1811.pdf,N,N,NA,NA
CP. No. 37/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Tattva & Mittal Lifespaces Pvt. Ltd.,Not Available,14.01.2017,Not Available,09.03.2017,17.04.2017,11.07.2017,"Engagement letter, invoices",Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1335.pdf,N,N,NA,NA
CP No. 1099/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Shree Sukhkarta Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1848.pdf,N,N,NA,NA
CP No. 898/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Shah Paper Mills Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/2050.pdf,N,N,NA,NA
CP No. 1102/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Fablab Engineering India Pvt.  Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/2157.pdf,N,N,NA,NA
CP (IB) No. 242/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Adhunik Metaliks Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,19.05.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/8.pdf,N,N,NA,NA
CP(IB) No. 358/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Shivam Dhatu Udyog Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,11.07.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/43.pdf,N,N,NA,NA
CP/472/(IB)/CB/2017,Chennai Bench,Creditor,Financial Creditor,NA,Bank,Not Available,BKR Hotels and Resorts Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,30.05.2017,SARFAESI proceedings,Admitted,Mr. R. Venkatakrishnan,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/2.pdf,N,Y,Corporate Debtor,Rejected
CP/474/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Southern Polypet Pvt. Ltd.,Not Available,17.02.2017,Not Available,Not Available,Not Available,30.05.2017,Not Available,Admitted,Delegaed to IBBI,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/8.pdf,N,N,NA,NA
CP/491/(IB)/CB/2017,Chennai Bench,Creditor,Financial Creditor,NA,Not Available,Not Available,Abhayam Trading Ltd,Not Available,01.04.2017,NA,Not Available,Not Available,31.05.2017,Not Available,Admitted,Mr. J. Rakesh Tulsidas Trivedi,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/1.pdf,N,N,NA,NA
CP/506/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Bhash Software Labs Pvt Ltd,Not Available,27.02.2017,Not Available,Not Available,Not Available,01.06.2017,Not Available,Admitted,Mr. V. Mahesh,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/3.pdf,N,Y,Corporate Debtor,Allowed
CP/504/(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Bonton Softwares Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,01.06.2017,Not Available,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/4.pdf,N,N,NA,NA
CP/507(IB)/CB/2017,Chennai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Diamond Engineering (Chennai) Pvt Ltd,Not Available,Not Available,Not Available,Not Available,Not Available,06.06.2017,Not Available,Admitted,Mr. V. Mahesh,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/6.pdf,N,Y,Corporate Debtor,Rejected
CP No. 515/2017,Chennai Bench,Creditor,Financial Creditor,NA,Bank,Secured,Summer India Textile Mills Pvt Ltd,Not Available,NA,NA,Not Available,Not Available,13.06.2017,Not Available,Admitted,Mr. Madhusudhanan,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/10.pdf,N,N,NA,NA
"CP No. 478,479 and 480 of 2017",Chennai Bench,Creditor,Operational Creditor,Employee,NA,Not Available,Aruna Hotels Ltd,Not Available,24.03.2017,Not Available,Not Available,Not Available,13.06.2017,Not Available,Admitted,Mr. P. Sriram,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/11.pdf,N,Y,Corporate Debtor,Allowed
CP/468(IB)/CB/2017,Chennai Bench,Corporate Debtor,NA,NA,NA,Not Available,Thirupur Surya Hitech Apparel Pvt Ltd,Not Available,NA,NA,Not Available,Not Available,14.06.2017,Not Available,Admitted,Mr. Mutharaju,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/12.pdf,N,N,NA,NA
CP/467(IB)/CB/2017,Chennai Bench,Corporate Debtor,NA,NA,NA,Not Available,Thirupur Surya Textiles Pvt Ltd,Not Available,NA,NA,Not Available,Not Available,14.06.2017,Not Available,Admitted,Mr.Mutharaju,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/13.pdf,N,N,NA,NA
CP/508(IB)/CB/2017,Chennai Bench,Corporate Debtor,NA,NA,NA,Not Available,Ennore Coke Ltd.,Not Available,NA,NA,Not Available,Not Available,20.06.2017,Not Available,Admitted,Anil Kumar Birla,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/724.pdf,N,N,NA,NA
CP/505(IB)/CB/2017,Chennai Bench,Creditor,Financial Creditor,NA,Individual,Not Available,Orien Kuries and Loans Pvt Ltd,Not Available,22.04.2017,26.04.2017,Not Available,Not Available,10.07.2017,Not Available,Admitted,Mr. Sankar Panicker,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/45.pdf,N,N,NA,NA
16/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Agroh Infrastructure Developer (P) Ltd.,31.08.2014,4.04.2017,8.04.2017,6.05.2017,11.05.2017,18.05.2017,Work Agreement,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/28.pdf,N,Y,Corporate Debtor,Allowed
15/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,GEI Power Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,19.05.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/33.pdf,N,N,NA,NA
19/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Asian Natural Resources India Ltd.,Not Available,NA,NA,09.05.2017,12.05.2017,23.05.2017,Inland letters of Creditor/ Foreign letter of credit/ Buyers credit,Admitted,Niting Hasmukhlal Parikh,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/37.pdf,N,Y,Corporate Debtor,Rejected
19/7/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured,New Tech Fittings Pvt. Ltd.,Not Available,NA,NA,11.05.2017,Not Available,23.05.2017,Documents submitted with BIFR,Admitted,Devendra Padamchand Jain,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/36.pdf,Y,N,NA,NA
18/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Bhatia Global Trading Ltd.,Not Available,NA,NA,9.05.2017,17.05.2017,23.05.2017,Inland letters of Creditor/ Foreign letter of credit/ Buyers credit,Admitted,Niting Hasmukhlal Parikh,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/35.pdf,N,Y,Corporate Debtor,Rejected
20/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Shyam Industries Ltd.,Not Available,18.02.2017,Not Available,11.05.2017,12.05.2017,24.05.2017,Unpaid invoices,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/39.pdf,N,Y,Corporate Debtor,Allowed
26/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Not Available,Not Available,Anil Ltd.,Not Available,NA,NA,Not Available,Not Available,25.05.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/46.pdf,N,N,NA,NA
17/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Bank,Secured,Western Refrigeration Pvt. Ltd.,Not Available,NA,NA,8.05.2017,12.05.2017,26.05.2017,Guarantee Agreement,Dismissed,NA,Other,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/51.pdf,N,N,NA,NA
21/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured,New Tech Forge & Foundry Ltd. ,Not Available,NA,NA,11.05.2017,15.05.2017,29.05.2017,Not Available,Admitted,Arun Kumar Malani,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/61.pdf,Y,N,NA,NA
22/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured,Micro Forge (India) Ltd,Not Available,NA,NA,11.05.2017,15.05.2017,29.05.2017,Not Available,Admitted,Arun Kumar Malani,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/63.pdf,Y,N,NA,NA
27/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Depositor,Not Available,Oasis Textiles Ltd.,Not Available,07.06.2017,NA,17.05.2017,19.05.2017,31.05.2017,Loan agreement,Admitted,Umesh Harjivandas,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/64.pdf,N,N,NA,NA
24/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Reliance Defence & Engineering Ltd.,29.06.2015,04.02.2017,NA,12.05.2017,16.05.2017,02.06.2017,(engagement) contract,Dismissed,NA,Time barred,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/82.pdf,N,N,NA,NA
25/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Reliance Defence & Engineering Ltd.,Not Available,06.04.2017,NA,Not Available,Not Available,02.06.2017,Consultancy agreement,Dismissed,NA,Time barred,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/81.pdf,N,N,NA,NA
29/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Bhagwan Motors Pvt. Ltd.,19.05.2016,18.04.2017,NA,24.05.2017,26.05.2017,06.06.2017,Invoice,Admitted,Rajesh Lohia,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/98.pdf,N,Y,Corporate Debtor,Allowed
28//10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Secured,Diamond Power Transformers Ltd. ,NA,NA,NA,22.05.2017,25.05.2017,06.06.2017,Documents before DRT,Admitted,Arvind Gaudana,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/100.pdf,N,N,NA,NA
C.P(I.B) No.34/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ardor Global Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,11.07.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/124.pdf,N,Y,Corporate Debtor,Rejected
31/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jaibhagwati Textprint Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,13.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/127.pdf,N,N,NA,NA
CP(IB) No. 43/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jai Bhagwati Tex Prints Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/134.pdf,N,N,NA,NA
76/09/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,M/s. Sulakshana Circuits Ltd.,Not Available,23.02.2017,Not Available,Not Available,Not Available,02.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/SulakshanaCircuits.pdf,N,N,NA,NA
55/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Hyderabad Integrated MSW limited,31.01.2017,Not Available,Not Available,Not Available,04.05.2017,22.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/76.pdf,N,N,NA,NA
58/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Delhi MSW Solutions Ltd.,31.01.2017,Not Available,Not Available,Not Available,04.05.2017,22.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/75.pdf,N,N,NA,NA
58/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ramky Energy & Environment Ltd.,31.01.2017,Not Available,Not Available,Not Available,04.05.2017,22.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/74.pdf,N,N,NA,NA
58/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ramky Enviro Engineering Ltd.,31.01.2017,Not Available,Not Available,Not Available,04.05.2017,22.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/74.pdf,N,N,NA,NA
CP (IB) No. 55/CB/Ald/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,Secured,LML Ltd.,Not Available,NA,NA,Not Available,Not Available ,30.05.2017,Not Available,Admitted,Anil Goel,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/LMLLimited.pdf,N,N,NA,NA
CP (IB) No. 12/Ald/2017,Allahabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,H.L. Tech Fabrics Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available ,31.05.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/5.pdf,N,N,NA,NA
CP (IB) No. 13/Ald/2017,Allahabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Swadisht Oils Pvt. Ltd.,Not Available,18.01.2017,Not Available,Not Available,Not Available ,01.06.2017,"Invoices, ledger account, communications,",Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/9.pdf,N,Y,Creditor,Allowed
CP (IB) No. 14/Ald/2017,Allahabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Swadisht Oils Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available ,01.06.2017,Not Available,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/4.pdf,N,Y,Creditor,Allowed
CP (IB) No. 16/Ald/2017,Allahabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Swadisht Oils Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available ,01.06.2017,Not Available,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/6.pdf,N,Y,Creditor,Allowed
CP (IB) No. 15/Ald/2017,Allahabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Swadisht Oils Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available ,01.06.2017,Not Available,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/7.pdf,N,Y,Creditor,Allowed
CP (IB) No. 17/Ald/2017,Allahabad Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Swadisht Oils Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available ,01.06.2017,Not Available,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/8.pdf,N,Y,Creditor,Allowed
CP (IB) No. 36/BB/2017,Bengaluru Bench,Creditor,Not Available,Not Available,Not Available ,Not Available,Kotak Mahindra Bank and Ors.,Not Available,Not Available,Not Available,Not Available,Not Available ,04.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/117.pdf,N,N,NA,NA
CP(IB)No.36/Chd/CHD/2017,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Both,Shivek Labs Ltd,Not Available,NA,NA,Not Available,Not Available ,06.07.2017,"Books of account, sanction letter",Admitted,Mr. Vivek Kumar Arora,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/37.pdf,Y,N,NA,NA
CP(IB)No.38/Chd/Pb/2017,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Not Available,Oasis Agro Infra Ltd.,Not Available,NA,NA,Not Available,Not Available ,07.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/40.pdf,N,N,NA,NA
34/Chd/J&K/2017,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,M/S. Jammu Paper Ltd.,30.08.2014,20.03.2017,24.03.2017,15.05.2017,30.06.2017,10.07.2017,"Ledger account, bank account",Admitted,Referred to IBBI,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/145.pdf,N,Y,Corporate Debtor,Allowed
CP(IB) No.24/Chd/Hry/2017,Chandigarh Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Amtek Auto Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.05.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/16.pdf,N,N,NA,NA
CP(IB) No.23/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Foremost International Pvt. Ltd.,Not Available,07.04.2017,13.04.2017,Not Available,08.05.2017,22.05.2017,Invoices,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/17.pdf,N,N,NA,NA
CP(IB) No.21/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Arcotech Ltd.,18.12.2015,07.02.2017,13.02.2017,Not Available,08.05.2017,25.05.2017,Invoices,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/19.pdf,N,Y,Creditor,Rejected
CP(IB) No.22/Chd/Hry/2017,Chandigarh Bench,Creditor,Operational Creditor,Others,NA,Unsecured,Uttam Galwa Metallics Ltd.,Not Available,14.02.2017,Not Available,Not Available,08.05.2017,01.06.2017,Invoices and receivables assignment agreement,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/UttamGalvaMetallicsLimited.pdf,N,Y,Creditor,Rejected
(IB)-202(PB)/2017,New Delhi (Principal Bench),Creditor,Financial Creditor,NA,Bank,Not Available,Bhushan Power And Steel Limited,31.05.2017 ,NA,NA,Not Available,13.07.2017,26.07.2017,"Working Capital Consortium Agreement, Term Loan Agreements, ECB Facilities Agreements, Banker's Book and Guarantee agreements",Admitted,Mr. Mahender Kumar Khandewal,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/68.pdf,N,N,NA,NA
(IB)-201(PB)/2017,New Delhi (Principal Bench),Creditor,Financial Creditor,NA,Bank,Secured,Bhushan Steel Limited,Unclear,Unclear,Unclear,03.07.2017,13.07.2017,26.07.2017,"Working Capital Consortium Agreement, Banker's Book and Guarantee agreements",Admitted,Mr. Vijay Kumar V Iyer,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/67.pdf,N,N,NA,NA
IB-131(PB)/2017,New Delhi (Principal Bench),Corporate Debtor,NA,NA,NA,Secured,Amit Spinning Industries Ltd.,Not Available,", Axis Bank- 16.06.2016, Axis Bank-15.12.2016",Not Available,Not Available,Not Available,01.08.2017,"Registeration of Charge issued by ROC, Provisional Financial Statement and provisional Balance sheet",Admitted,Mr. Praveen Banssal,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/72.pdf,Y,N,NA,NA
(IB)152/2017,New Delhi (Principal Bench),Creditor,Financial Creditor,NA,Company,Not Available,Arrow Resources Limited,31.03.2017,10.05.2017,Not Available,Not Available,7.06.2017,07.08.2017,"Bank Statement of Financial Creditor, Ledger Account of Debtor",Admitted,Mr. Ambarish Chatterjee,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/80.pdf,N,N,NA,NA
(IB)144(PB)/2017,New Delhi (Principal Bench),Creditor,Financial Creditor,NA,Bank,Secured,S. R. Foils and Tissue Ltd,31.12.2013,Not Available,Not Available,Not Available,02.06.2017,07.08.2017,"Bank Statement, certificate of registration of charge",Admitted,Mr. Anil Kohli,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/82.pdf,N,N,NA,NA
(IB)197(PB)/2017,New Delhi (Principal Bench),Creditor,Financial Creditor,NA,ARC,Secured,Tecpro Systems Limited,28.05.2014,NA,NA,Not Available,Not Available,07.08.2017,"Account statements, particulars of security held and certfitcate of registeration of charge",Admitted,Mr. Venkatesan Sankaranarayanan,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/84.pdf,N,N,NA,NA
(IB)155(PB)/2017,New Delhi (Principal Bench),Creditor,Operational Creditor,Not Available,NA,Not Available,Tecpro Systems Limited,12.07.2013 (not necessarily the due date for payment),Not Available,Not Available,Not Available,Not Available,08.08.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/86.pdf,N,Y,NA,NA
(IB)-120(PB)/2017,New Delhi (Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,International Coil Ltd.,Not Available,Not Available,Not Available,19.04.2017,31.05.2017,16.08.2017,"Invoice, letter of credit",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/105.pdf,N,N,NA,NA
CP No-1((IB)185(PB)/2017,New Delhi (Special Bench),Creditor,Financial Creditor,NA,Individual,Unsecured,Mariners Buildcon India Ltd.,25.02.2015,22.05.2017,25.05.2017,Not Available,4.07.2017,24.08.2017,Debtor acknowledgement correspondence,Admitted,Mr. Prabhjit  Singh Soni,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/114.pdf,N,N,NA,NA
170(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Zapp India Limited,Not Available,Not Available,Not Available,Not Available,Not Available,20.07.2017,"Invoices, ledger accounts and certificate from the banker and arbitral award",Admitted,Not Available,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/11.pdf,N,N,NA,NA
198(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Not Available,NA,Not Available,Lifeline Services Pvt. Ltd.,NA,NA,NA,NA,NA,21.07.2017,NA,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/20.pdf,N,N,NA,NA
(IB)-194(ND)/2017,New Delhi (Bench II),Creditor,Financial Creditor,NA,Bank,Not Available,Garg Inox Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Admitted,Mr. Sanjay Gupta,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/12.pdf,N,N,NA,NA
(IB)-118(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Anu Elastics Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Invoices,Admitted,Not Available,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/14.pdf,N,Y,Corporate Debtor,Allowed
"(IB)-192(ND)/2017	
",New Delhi (Bench II),Corporate Debtor,NA,NA,NA,Secured,Tehri Iron and Steel Casting Ltd.,Not Available,17.05.2017,Not Available,29.06.2017,05.07.2017,27.07.2017,Financial Statements,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/15.pdf,N,N,NA,NA
