Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
4/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,Partially secured,Gujarat Oleo Chem Ltd.,Not Available,NA,NA,02.02.2017,05.04.2017,13.04.2017,NA,Admitted,Shri Rakesh Chaturvedi,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20CP%20(IB)%204%20of%202017%20Gujarat%20oleo%20Chem%20Ltd%20v.%20IDBI%20Bank%20Ltd%20&%20Ors.pdf,Y,N,NA,NA
3/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Stratus Foods Pvt. Ltd.,Not Available,20.02.2017,21.02.2017,15.03.2017,03.04.2017,10.04.2017,Retail Invoices,Admitted,Not appointed,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/FINAL%20Umiya%20Trading%20v.%20Stratus%20Foods%20Pvt.%20Ltd..pdf,N,N,NA,NA
01/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Pooja Tex-Prints Pvt. Ltd.,Not Available,05.01.2017,09.01.2017,15.03.2017,28.03.2017,29.03.2017,Not Available,Admitted,Not appointed,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Gurinandan%20Fashion%20Pvt.%20Ltd.%20v.%20Pooja%20Tex-Prints%20Pvt.%20Ltd..pdf,N,N,NA,NA
CP(IB)/19/7/HDB/2017,Hyderabad Bench,Creditor,Financial Creditor,NA,Individual ,Unsecured,Geometrix Laser Solutions Private Limited,Not Available,NA,NA,Not Available,22.02.2017,13.03.2017,Financial statements of debtor company,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/1geometrix%20laser%20solutions.pdf,N,N,NA,NA
CP(IB)/9/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,Lanco Infratech Ltd.,Not Available,02.01.2017,Not Available,Not Available,Not Available,21.02.2017,Financial statements of petitioner,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/Lanco%20Infratech%20Ltd..pdf,N,Y,Creditor,Rejected
CP(IB)/16/07/HDB/2017,Hyderabad Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Kamineni Steel and Power India Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,20.02.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/Kamineni%20Steel%20and%20Power%20India%20Private%20Limited..pdf,N,N,NA,NA
CP(IB)/10/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Not Available,NA,Unsecured,Juggilal Kamlpat Jute Mills Company Limited,Not Available,Not Available,Not Available,Not Available,Not Available,03.05.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/final%20order%20cp%20no%20(IB)10%20ALD%202017%20DATED%20IN%203.5.2017.pdf,N,Y,Corporate Debtor,Allowed
CP(IB)/36/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,Juggilal Kamlpat Jute Mills Company Limited,Not Available,14.03.2017,Not Available,28.03.2017,Not Available,28.04.2017,Not Available,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/Juggilaln12.pdf,N,N,NA,NA
CP(IB)/23/ALD/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,Secured,Raman Ispat Private Limited,Not Available,NA,NA,Not Available,Not Available,11.04.2017,NA,Admitted,Mr.Praveen Bansal,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/Raman%20ISPAT%20Pvt.Ltd..pdf,Y,N,NA,NA
CP(IB)/25/ALD/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,Not Available,JODPL Private Limited,Not Available,NA,NA,Not Available,Not Available,17.03.2017,NA,Admitted,Mr.Dinkar T Subramanium,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/JODPL%20Private%20Limited.pdf,N,N,NA,NA
